Ref_Date,City,Province,Police Dept.,Type,Geographical classification,STATISTICS,Vector,Coordinate,Value
2013,Essex County (Leamington), Ontario, Ontario Provincial Police, municipal,35156,Crime severity index,v65810357,347.9,55.82
2013,Essipit, Quebec,, municipal,24115,Crime severity index,v65807357,97.9,..
2013,Esterhazy, Saskatchewan, Royal Canadian Mounted Police, municipal,47915,Crime severity index,v65812349,513.9,..
2013,Estevan, Saskatchewan,, municipal,47017,Crime severity index,v65811905,476.9,101.75
2013,Est�rel, Quebec,, municipal,24089,Crime severity index,v65961738,707.9,..
2013,Exeter (South Huron), Ontario, Ontario Provincial Police, municipal,35481,Crime severity index,v65811281,424.9,41.52
2013,Fairview, Alberta, Royal Canadian Mounted Police, municipal,48852,Crime severity index,v65813081,574.9,..
2013,Farnham, Quebec,, municipal,24088,Crime severity index,v65807225,86.9,..
2013,Faro, Yukon, Royal Canadian Mounted Police, rural,60702,Crime severity index,v66460548,4.1,0
2013,Fergus, Ontario,, municipal,35104,Crime severity index,v65961810,713.9,..
2013,Fermont, Quebec,, municipal,24364,Crime severity index,v65808857,222.9,..
2013,File Hills First Nations, Saskatchewan,, municipal,47001,Crime severity index,v65811869,473.9,263.22
2013,Flin Flon, Manitoba, Royal Canadian Mounted Police, municipal,46756,Crime severity index,v65811677,457.9,134.11
2013,Fort Good Hope, Northwest Territories, Royal Canadian Mounted Police, rural,61732,Crime severity index,v66460938,36.1,0
2013,Fort Liard, Northwest Territories, Royal Canadian Mounted Police, rural,61766,Crime severity index,v66461082,48.1,0
2013,Fort Macleod, Alberta, Royal Canadian Mounted Police, municipal,48817,Crime severity index,v65813009,568.9,..
2013,Fort McPherson, Northwest Territories, Royal Canadian Mounted Police, rural,61731,Crime severity index,v66460926,35.1,0
2013,Fort Providence, Northwest Territories, Royal Canadian Mounted Police, rural,61768,Crime severity index,v66461094,49.1,0
2013,Fort Qu'appelle, Saskatchewan, Royal Canadian Mounted Police, municipal,47808,Crime severity index,v65812169,498.9,..
2013,Fort Resolution, Northwest Territories, Royal Canadian Mounted Police, rural,61771,Crime severity index,v66461130,52.1,0
