Ref_Date,GEO,Geographical classification,STA,Vector,Coordinate,Value
2007,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,51.54
2008,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,51.58
2009,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,55.26
2010,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,52.47
2011,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,52.23
2012,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,49.03
2013,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,49.38
2014,Yukon,60,Non-violent weighted clearance rate (number),v66460522,1.17,46.75
1998,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,0
1999,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,2.57
2000,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,-18.14
2001,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,15.39
2002,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,-12.83
2003,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,3.96
2004,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,15.16
2005,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,16.53
2006,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,4.21
2007,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,8.94
2008,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,0.08
2009,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,7.13
2010,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,-5.05
2011,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,-0.46
2012,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,-6.13
2013,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,0.71
2014,Yukon,60,Percent change in non-violent weighted clearance rate,v66460523,1.18,-5.33
1998,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
1999,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2000,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2001,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2002,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2003,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2004,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2005,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2006,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2007,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2008,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2009,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2010,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2011,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2012,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2013,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
2014,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Crime severity index,v66460524,2.1,0
1998,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
1999,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2000,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2001,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2002,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2003,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2004,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2005,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2006,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2007,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2008,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2009,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2010,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2011,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2012,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2013,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
2014,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Percent change in crime severity index,v66460525,2.2,0
1998,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
1999,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2000,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2001,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2002,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2003,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2004,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2005,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2006,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2007,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2008,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2009,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2010,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2011,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2012,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
2013,"Carmacks, Yukon, Royal Canadian Mounted Police, rural",60700,Violent crime severity index,v66460526,2.3,0
